Período;mes;Total;Variacion interanual;Residencial;Variacion interanual;Organizaciones;Variacion interanual
2015;1 trimestre;6611407;;6091530;;519877;
2015;Enero;6603015;;6085189;;517826;
2015;Febrero;6604069;;6085150;;518919;
2015;Marzo;6627135;;6104250;;522885;
2015;2  trimestre;6688872;;6156140;;532732;
2015;Abril;6648922;;6119455;;529467;
2015;Mayo;6681314;;6148681;;532633;
2015;Junio;6736378;;6200283;;536095;
2015;3 trimestre;6806015;;6262882;;543133;
2015;Julio;6775844;;6235734;;540110;
2015;Agosto;6802722;;6259664;;543058;
2015;Septiembre;6839478;;6293247;;546231;
2015;4 trimestre;6888591;;6337884;;550707;
2015;Octubre;6872695;;6323749;;548946;
2015;Noviembre;6886764;;6335573;;551191;
2015;Diciembre;6906315;;6354330;;551985;
2016;1 trimestre;6966129;5,4;6397978;5;568151;9,3
2016;Enero;6956100;5,3;6387157;5;568943;9,9
2016;Febrero;6962612;5,4;6394688;5,1;567924;9,4
2016;Marzo;6979674;5,3;6412089;5;567585;8,5
2016;2  trimestre;7048565;5,4;6458112;4,9;590453;10,8
2016;Abril;7019528;5,6;6430537;5,1;588991;11,2
2016;Mayo;7050163;5,5;6459166;5;590997;11
2016;Junio;7076005;5;6484633;4,6;591372;10,3
2016;3 trimestre;7117612;4,6;6525416;4,2;592196;9
2016;Julio;7088995;4,6;6496766;4,2;592229;9,6
2016;Agosto;7116326;4,6;6524363;4,2;591963;9
2016;Septiembre;7147517;4,5;6555120;4,2;592397;8,5
2016;4 trimestre;7150187;3,8;6556731;3,5;593456;7,8
2016;Octubre;7162737;4,2;6564861;3,8;597876;8,9
2016;Noviembre;7152940;3,9;6560017;3,5;592923;7,6
2016;Diciembre;7134882;3,3;6545314;3;589568;6,8
2017;1 trimestre;7134869;2,4;6545650;2,3;589219;3,7
2017;Enero;7128784;2,5;6548113;2,5;580671;2,1
2017;Febrero;7134995;2,5;6540929;2,3;594066;4,6
2017;Marzo;7140829;2,3;6547909;2,1;592920;4,5
2017;2  trimestre;7175809;1,8;6586309;2;589500;-0,2
2017;Abril;7169558;2,1;6575697;2,3;593861;0,8
2017;Mayo;7171412;1,7;6584667;1,9;586745;-0,7
2017;Junio;7186456;1,6;6598563;1,8;587893;-0,6
2017;3 trimestre;7216990;1,4;6645406;1,8;571584;-3,5
2017;Julio;7184129;1,3;6601238;1,6;582891;-1,6
2017;Agosto;7201826;1,2;6635179;1,7;566647;-4,3
2017;Septiembre;7265017;1,6;6699802;2,2;565215;-4,6
2017;4 trimestre;7325597;2,5;6760896;3,1;564701;-4,8
2017;Octubre;7298250;1,9;6732797;2,6;565453;-5,4
2017;Noviembre;7324569;2,4;6760207;3,1;564362;-4,8
2017;Diciembre;7353970;3,1;6789683;3,7;564287;-4,3
2018;1 trimestre;7367070;3,3;6804515;4;562555;-4,5
2018;Enero;7354525;3,2;6790450;3,7;564075;-2,9
2018;Febrero;7370362;3,3;6808460;4,1;561902;-5,4
2018;Marzo;7376322;3,3;6814635;4,1;561687;-5,3
2018;2  trimestre;7414377;3,3;6854878;4,1;559499;-5,1
2018;Abril;7396762;3,2;6835476;4;561286;-5,5
2018;Mayo;7410696;3,3;6852154;4,1;558542;-4,8
2018;Junio;7435673;3,5;6877004;4,2;558669;-5
2018;3 trimestre;7452167;3,3;6898415;3,8;553752;-3,1
2018;Julio;7450022;3,7;6894157;4,4;555865;-4,6
2018;Agosto;7443730;3,4;6892124;3,9;551606;-2,7
2018;Septiembre;7462750;2,7;6908965;3,1;553785;-2
2018;4 trimestre;7466813;1,9;6921506;2,4;545307;-3,4
2018;Octubre;7467203;2,3;6917031;2,7;550172;-2,7
2018;Noviembre;7454909;1,8;6908537;2,2;546372;-3,2
2018;Diciembre;7478327;1,7;6938950;2,2;539377;-4,4
2019;1 trimestre;7456627;1,2;6916873;1,7;539754;-4,1
2019;Enero;7459631;1,4;6917757;1,9;541874;-3,9
2019;Febrero;7445014;1;6906376;1,4;538638;-4,1
2019;Marzo;7465236;1,2;6926485;1,6;538751;-4,1
2019;2  trimestre;7486520;1;6950118;1,4;536402;-4,1
2019;Abril;7470254;1;6933312;1,4;536942;-4,3
2019;Mayo;7490212;1,1;6953208;1,5;537004;-3,9
2019;Junio;7499094;0,9;6963834;1,3;535260;-4,2
2019;3  trimestre;7512968;0,8;6981738;1,2;531230;-4,1
2019;Julio;7482138;0,4;6949273;0,8;532865;-4,1
2019;Agosto;7517171;1;6989628;1,4;527543;-4,4
2019;Septiembre;7539596;1;7006314;1,4;533282;-3,7
2019;4 trimestre;7526700;0,8;7007287;1,2;519413;-4,7
2019;Octubre;7540850;1;7011285;1,4;529565;-3,7
2019;Noviembre;7527881;1;7009989;1,5;517892;-5,2
2019;Diciembre;7511371;0,4;7000588;0,9;510783;-5,3
2020;1 trimestre;7475515;0,3;6971568;0,8;503947;-6,6
2020;Enero;7494764;0,5;6986877;1;507887;-6,3
2020;Febrero;7480346;0,5;6976141;1;504205;-6,4
2020;Marzo;7451435;-0,2;6951685;0,4;499750;-7,2
2020;2  trimestre;7444949;-0,6;6962299;0,2;482650;-10
2020;Abril;7373626;-1,3;6881887;-0,7;491739;-8,4
2020;Mayo;7471756;-0,2;6988020;0,5;483736;-9,9
2020;Junio;7489466;-0,1;7016990;0,8;472476;-11,7
2020;3  trimestre;7583842;0,9;7127038;2,1;456804;-14
2020;Julio;7530396;0,6;7067474;1,7;462922;-13,1
2020;Agosto;7586512;0,9;7128595;2;457917;-13,2
2020;Septiembre;7634618;1,3;7185044;2,6;449574;-15,7
2020;4 trimestre;7664716;1,8;7223835;3,1;440881;-15,1
2020;Octubre;7653500;1,5;7209115;2,8;444385;-16,1
2020;Noviembre;7660764;1,8;7219175;3;441589;-14,7
2020;Diciembre;7679884;2,2;7243215;3,5;436669;-14,5
2021;1 trimestre;7683936;2,8;7252686;4;431250;-14,4
2021;Enero;7665599;2,3;7231128;3,5;434471;-14,5
2021;Febrero;7688400;2,8;7258483;4;429917;-14,7
2021;Marzo;7697809;3,3;7268447;4,6;429362;-14,1
2021;2  trimestre;7766004;4,3;7339330;5,4;426674;-11,6
2021;Abril;7759331;5,2;7328789;6,5;430542;-12,4
2021;Mayo;7759571;3,9;7333868;4,9;425703;-12
2021;Junio;7779109;3,9;7355333;4,8;423776;-10,3
2021;3  trimestre*;7795612;2,8;7377834;3,5;417778;-8,5
2021;Julio;7793200;3,5;7372749;4,3;420451;-9,2
2021;Agosto;7797929;2,8;7381302;3,5;416627;-9
2021;Septiembre;7795707;2,1;7379450;2,7;416257;-7,4
2021;4  trimestre*;7840411;2,3;7419595;2,7;420816;-4,6
2021;Octubre;7836208;2,4;7419704;2,9;416504;-6,3
2021;Noviembre;7839845;2,3;7416642;2,7;423203;-4,2
2021;Diciembre;7845179;2,2;7422438;2,5;422741;-3,2
2022;1 trimestre;7849457;2,2;7432732;2,5;416725;-3,4
2022;Enero;7831866;2,2;7410847;2,5;421019;-3,1
2022;Febrero;7858249;2,2;7440011;2,5;418238;-2,7
2022;Marzo;7858258;2,1;7447339;2,5;410919;-4,3
2022;2  trimestre;7888593;1,6;7477302;1,9;411291;-3,6
2022;Abril;7874488;1,5;7463285;1,8;411203;-4,5
2022;Mayo;7895114;1,7;7482841;2;412273;-3,2
2022;Junio;7896177;1,5;7485779;1,8;410398;-3,2
2022;3  trimestre;7915077;1,5;7516997;1,9;398080;-4,7
2022;Julio;7896601;1,3;7498128;1,7;398473;-5,2
2022;Agosto;7914194;1,5;7516044;1,8;398150;-4,4
2022;Septiembre;7934434;1,8;7536818;2,1;397616;-4,5
2022;4  trimestre;7946140;1,3;7549702;1,8;396438;-5,8
2022;Octubre;7934360;1,3;7537400;1,6;396960;-4,7
2022;Noviembre;7954922;1,5;7558957;1,9;395965;-6,4
2022;Diciembre;7949138;1,3;7552749;1,8;396389;-6,2
2023;1 trimestre;7964371;1,5;7567300;1,8;397071;-4,7
2023;Enero;8017929;2,4;7620477;2,8;397452;-5,6
2023;Febrero;7921273;0,8;7525421;1,1;395852;-5,4
2023;Marzo;7953913;1,2;7556003;1,5;397910;-3,2
2023;2  trimestre;7995291;1,4;7595252;1,6;400039;-2,7
2023;Abril;7975740;1,3;7577120;1,5;398620;-3,1
2023;Mayo;7991684;1,2;7592830;1,5;398854;-3,3
2023;Junio;8018449;1,5;7615806;1,7;402643;-1,9
